Pole_length,Comparison,t_stat,p_value,Mean_Baseline,Mean_Method
0.4,Baseline vs PER Usage,-11.788831408937458,8.910914969671683e-07,395.1,12139.5
0.4,Baseline vs Parallel Learning,-8.154513494196872,1.8939770293571356e-05,395.1,8789.1
0.4,Baseline vs EA Hyperparameters,5.025341925417543,0.00016598993107454557,395.1,184.0608141245709
0.45,Baseline vs PER Usage,-34.236244125009144,7.128742872533979e-11,364.8,19796.9
0.45,Baseline vs Parallel Learning,-8.939317128722895,8.99603556561127e-06,364.8,12779.5
0.45,Baseline vs EA Hyperparameters,1.7594086358920684,0.09619416101289947,364.8,294.4973025993134
0.5,Baseline vs PER Usage,-15.442511658679994,8.735059975010744e-08,421.4,19603.2
0.5,Baseline vs Parallel Learning,-13.801108775383385,2.3113290505846447e-07,421.4,14474.9
0.5,Baseline vs EA Hyperparameters,0.8347251641340917,0.41885410205619256,421.4,368.1216282491417
0.54,Baseline vs PER Usage,-9.178099448238541,7.259194485579427e-06,433.6,16679.3
0.54,Baseline vs Parallel Learning,-15.396295991506054,8.899351129345216e-08,433.6,15598.7
0.54,Baseline vs EA Hyperparameters,0.2603266166851966,0.7978868657303799,433.6,417.204512015694
0.59,Baseline vs PER Usage,-9.502082481745736,5.456282119361012e-06,391.3,22346.0
0.59,Baseline vs Parallel Learning,-12.319344103876187,6.096051039243387e-07,391.3,14140.6
0.59,Baseline vs EA Hyperparameters,-1.85043921520465,0.08319343413834959,391.3,478.5581167238843
0.64,Baseline vs PER Usage,-12.16685436309257,6.822651221511092e-07,439.3,22205.6
0.64,Baseline vs Parallel Learning,-21.04246549377025,5.672495556684061e-09,439.3,19573.0
0.64,Baseline vs EA Hyperparameters,-0.3710402812152517,0.7184676965627624,439.3,503.0995586071604
0.69,Baseline vs PER Usage,-14.987807545670723,1.131779471815293e-07,439.6,30064.2
0.69,Baseline vs Parallel Learning,-14.99818346481309,1.1191870162065295e-07,439.6,19769.7
0.69,Baseline vs EA Hyperparameters,-1.81559102027537,0.10266016780523556,439.6,527.6410004904365
0.74,Baseline vs PER Usage,-9.043497543298571,8.197179213536248e-06,382.0,21750.8
0.74,Baseline vs Parallel Learning,-13.502971454538043,2.786047888958071e-07,382.0,20560.6
0.74,Baseline vs EA Hyperparameters,-1.9009935577795634,0.0896703114703709,382.0,546.0470819028936
0.79,Baseline vs PER Usage,-8.003863128128874,2.2022987842487592e-05,403.4,18108.0
0.79,Baseline vs Parallel Learning,-9.64182954019019,4.8300807955075765e-06,403.4,16821.9
0.79,Baseline vs EA Hyperparameters,-3.080301590503686,0.008617557810822104,403.4,564.4531633153507
0.83,Baseline vs PER Usage,-8.52594360300841,1.3234815358275255e-05,433.5,17120.3
0.83,Baseline vs Parallel Learning,-9.2478907634907,6.810091794968166e-06,433.5,15869.8
0.83,Baseline vs EA Hyperparameters,-2.8222621690999583,0.01128874522777492,433.5,576.7238842569888
0.88,Baseline vs PER Usage,-7.896775662803415,2.442906811429054e-05,384.3,14668.2
0.88,Baseline vs Parallel Learning,-9.783827143984333,4.256303196757863e-06,384.3,16919.5
0.88,Baseline vs EA Hyperparameters,-2.655661771038921,0.01611720918780084,384.3,588.9946051986268
0.93,Baseline vs PER Usage,-9.160292202205259,7.375209747757117e-06,466.4,16137.1
0.93,Baseline vs Parallel Learning,-9.863592774410618,4.003998607591192e-06,466.4,18226.2
0.93,Baseline vs EA Hyperparameters,-2.8566076199833312,0.01328892097639789,466.4,588.9946051986268
0.98,Baseline vs PER Usage,-5.822107184738652,0.00025123468216913506,348.9,7923.7
0.98,Baseline vs Parallel Learning,-7.880817873532773,2.487653912026998e-05,348.9,17756.8
0.98,Baseline vs EA Hyperparameters,-3.211024953629559,0.007555998312678483,348.9,576.7238842569888
1.03,Baseline vs PER Usage,-7.5544328949644814,3.460274007994669e-05,367.9,10530.9
1.03,Baseline vs Parallel Learning,-6.999309617265059,6.313508581501309e-05,367.9,15897.4
1.03,Baseline vs EA Hyperparameters,-2.511333363022722,0.024617877684581527,367.9,564.4531633153507
1.08,Baseline vs PER Usage,-6.959733806285532,6.60354562125978e-05,440.4,14347.3
1.08,Baseline vs Parallel Learning,-8.047747225673826,2.103895824789962e-05,440.4,12657.1
1.08,Baseline vs EA Hyperparameters,-2.121158713968734,0.04805557564322816,440.4,552.1824423737127
1.12,Baseline vs PER Usage,-5.809001243867333,0.000256070242979197,463.7,8397.5
1.12,Baseline vs Parallel Learning,-9.53960649967753,5.279604404516461e-06,463.7,21358.5
1.12,Baseline vs EA Hyperparameters,-1.1996986456619696,0.24612974527600362,463.7,527.6410004904365
1.17,Baseline vs PER Usage,-8.505555790332407,1.3473120013049552e-05,463.4,13601.4
1.17,Baseline vs Parallel Learning,-9.586047192195586,5.0731834587532e-06,463.4,24555.7
1.17,Baseline vs EA Hyperparameters,-0.3676923059643923,0.7174546633453189,463.4,503.0995586071604
1.22,Baseline vs PER Usage,-6.203490148543712,0.00015797030498576763,410.1,11146.4
1.22,Baseline vs Parallel Learning,-7.886378700266182,2.4779743490429437e-05,410.1,19326.7
1.22,Baseline vs EA Hyperparameters,-0.7557477504186434,0.4598371221452622,410.1,466.2873957822462
1.27,Baseline vs PER Usage,-6.456094899098827,0.00011645342010505777,440.6,5580.5
1.27,Baseline vs Parallel Learning,-11.300172721116393,1.2801038299868983e-06,440.6,28833.8
1.27,Baseline vs EA Hyperparameters,0.6480479841607133,0.5255352000170224,440.6,441.7459538989701
1.32,Baseline vs PER Usage,-7.436468611682676,3.9393233010481746e-05,465.7,11008.8
1.32,Baseline vs Parallel Learning,-9.439625516255697,5.757294643443998e-06,465.7,16640.2
1.32,Baseline vs EA Hyperparameters,1.994016767821669,0.061985140695573475,465.7,417.204512015694
1.37,Baseline vs PER Usage,-6.039901542232925,0.00019198962824728687,450.1,6750.1
1.37,Baseline vs Parallel Learning,-10.198238166851588,3.029552303757066e-06,450.1,21791.5
1.37,Baseline vs EA Hyperparameters,1.7167788388784024,0.10330689173505164,450.1,392.6630701324178
1.41,Baseline vs PER Usage,-6.518127436790689,0.00010894287693932883,433.1,11358.9
1.41,Baseline vs Parallel Learning,-9.085051631856222,7.89767520671284e-06,433.1,27896.1
1.41,Baseline vs EA Hyperparameters,1.6679123014216004,0.11271780854184713,433.1,368.1216282491417
1.46,Baseline vs PER Usage,-5.49782763103117,0.0003805428033242291,517.2,7607.6
1.46,Baseline vs Parallel Learning,-13.62934740762113,2.5798368993772527e-07,517.2,36141.5
1.46,Baseline vs EA Hyperparameters,4.525501359651758,0.00026370490647093935,517.2,343.5801863658656
1.51,Baseline vs PER Usage,-5.36269263590435,0.0004541135752381913,496.6,8549.0
1.51,Baseline vs Parallel Learning,-10.25487571145879,2.8978220123556677e-06,496.6,32562.0
1.51,Baseline vs EA Hyperparameters,4.118447941215042,0.0006540036418161527,496.6,319.0387444825895
1.56,Baseline vs PER Usage,-5.2056253633834695,0.0005574473995510893,397.0,5843.5
1.56,Baseline vs Parallel Learning,-9.413888076560964,5.890789711643902e-06,397.0,27182.2
1.56,Baseline vs EA Hyperparameters,0.5198656241192453,0.6118495787414806,397.0,294.4973025993134
1.61,Baseline vs PER Usage,-8.137768887955996,1.9238600618283215e-05,334.6,9260.2
1.61,Baseline vs Parallel Learning,-12.433610127530756,5.682299450598593e-07,334.6,36709.8
1.61,Baseline vs EA Hyperparameters,1.9832667460871065,0.06300858371941366,334.6,269.9558607160373
1.66,Baseline vs PER Usage,-5.796491565270939,0.0002604245025067714,298.7,5569.1
1.66,Baseline vs Parallel Learning,-7.945237482254483,2.338010137682135e-05,298.7,27142.9
1.66,Baseline vs EA Hyperparameters,1.3900171598490227,0.1869161716810899,298.7,245.4144188327612
1.7,Baseline vs PER Usage,-4.775883525994952,0.0010067258004052954,303.3,4208.1
1.7,Baseline vs Parallel Learning,-9.914692824104009,3.842172359727492e-06,303.3,31686.7
1.7,Baseline vs EA Hyperparameters,1.4851533604654539,0.16621116066560795,303.3,220.872976949485
1.75,Baseline vs PER Usage,-4.950900455377533,0.0007895484876187269,312.9,7206.9
1.75,Baseline vs Parallel Learning,-9.577782717341185,5.115023122372452e-06,312.9,34573.5
1.75,Baseline vs EA Hyperparameters,3.179049957607644,0.0052086719187156745,312.9,196.3315350662089
1.8,Baseline vs PER Usage,-4.794571224659232,0.0009782195747199466,380.9,8377.6
1.8,Baseline vs Parallel Learning,-11.797243530007428,8.86044050875955e-07,380.9,37533.0
1.8,Baseline vs EA Hyperparameters,4.539610902683453,0.0006130083780522628,380.9,171.7900931829328
